epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.74869,1.0581,4.26836,1.20678,0.03431,0.00495,0.01791,0.01763,0.54777,3.79611,0.90154,8.568e-05,8.568e-05,8.568e-05
2,15.2416,0.94556,3.70618,1.11846,0.03329,0.64149,0.07021,0.05795,0.59873,3.45532,0.92647,0.000170308,0.000170308,0.000170308
3,20.68,0.95169,3.22539,1.11497,0.64474,0.13524,0.15755,0.12708,0.6432,2.95612,0.96758,0.000248967,0.000248967,0.000248967
4,27.3069,0.95145,2.9832,1.14474,0.64744,0.15143,0.20353,0.16784,0.65243,2.81734,0.94243,0.000321657,0.000321657,0.000321657
5,32.7311,0.96029,2.79772,1.15717,0.51776,0.11551,0.20984,0.17281,0.59401,2.69579,0.93412,0.000388378,0.000388378,0.000388378
6,38.3634,0.92276,2.64628,1.11874,0.32715,0.28247,0.23047,0.18529,0.66136,2.47813,0.97868,0.00039746,0.00039746,0.00039746
7,45.4731,0.91662,2.55928,1.12274,0.29569,0.35242,0.3007,0.2578,0.59427,2.28097,0.975,0.000381752,0.000381752,0.000381752
8,50.9373,0.89838,2.42767,1.12124,0.29286,0.39268,0.3417,0.29242,0.54969,2.0776,0.9531,0.000366044,0.000366044,0.000366044
9,57.1603,0.86065,2.32651,1.08811,0.35569,0.41979,0.36294,0.30793,0.56272,2.07307,0.9467,0.000350336,0.000350336,0.000350336
10,62.6552,0.87007,2.24059,1.09928,0.3258,0.52407,0.40831,0.34401,0.58752,1.82763,0.94487,0.000334628,0.000334628,0.000334628
11,69.1754,0.83507,2.18251,1.0894,0.35538,0.51212,0.44458,0.37457,0.57277,1.77708,0.9509,0.00031892,0.00031892,0.00031892
12,74.5311,0.83218,2.11375,1.06687,0.441,0.47944,0.46812,0.40014,0.54373,1.66872,0.93343,0.000303212,0.000303212,0.000303212
13,81.0862,0.7902,2.04278,1.05775,0.39663,0.50184,0.49112,0.41955,0.52089,1.61277,0.92412,0.000287504,0.000287504,0.000287504
14,86.5215,0.79222,2.03716,1.06879,0.376,0.62268,0.50968,0.43508,0.54198,1.56657,0.95561,0.000271796,0.000271796,0.000271796
15,93.161,0.82052,1.97609,1.06771,0.44366,0.57219,0.53914,0.47045,0.51915,1.59086,0.92555,0.000256088,0.000256088,0.000256088
16,98.5224,0.8074,1.88505,1.05417,0.4598,0.54347,0.58132,0.51895,0.50098,1.3826,0.91001,0.00024038,0.00024038,0.00024038
17,104.481,0.77912,1.88655,1.05917,0.5351,0.61047,0.61721,0.54416,0.4985,1.35088,0.89917,0.000224672,0.000224672,0.000224672
18,110.304,0.77523,1.85007,1.04017,0.60721,0.52718,0.61972,0.54721,0.49897,1.30768,0.90728,0.000208964,0.000208964,0.000208964
19,115.774,0.76321,1.71818,1.03764,0.49069,0.63885,0.65698,0.58428,0.48292,1.19728,0.90163,0.000193256,0.000193256,0.000193256
20,122.04,0.77384,1.77564,1.03448,0.55316,0.62087,0.63726,0.57077,0.46173,1.26028,0.87992,0.000177548,0.000177548,0.000177548
21,129.478,0.62757,1.71217,0.95696,0.5761,0.58649,0.6287,0.55484,0.48799,1.40424,0.88304,0.00016184,0.00016184,0.00016184
22,135.173,0.61494,1.73548,0.95622,0.6328,0.68021,0.69991,0.62502,0.44904,1.17934,0.87417,0.000146132,0.000146132,0.000146132
23,140.325,0.58261,1.61811,0.94605,0.59589,0.72869,0.71896,0.64013,0.45997,1.06798,0.87093,0.000130424,0.000130424,0.000130424
24,146.658,0.59152,1.49912,0.94881,0.66906,0.69255,0.75249,0.67782,0.44389,1.00733,0.86839,0.000114716,0.000114716,0.000114716
25,151.749,0.58865,1.48803,0.94885,0.59671,0.7437,0.75517,0.68219,0.44389,1.05993,0.86905,9.9008e-05,9.9008e-05,9.9008e-05
26,158.046,0.58412,1.51059,0.93807,0.65452,0.71462,0.76561,0.68497,0.43772,1.00333,0.86823,8.33e-05,8.33e-05,8.33e-05
27,163.209,0.59298,1.45487,0.93194,0.75295,0.67989,0.78006,0.69562,0.43693,0.96624,0.86668,6.7592e-05,6.7592e-05,6.7592e-05
28,169.097,0.56458,1.46541,0.92659,0.68921,0.7524,0.78674,0.70145,0.42491,0.95646,0.8614,5.1884e-05,5.1884e-05,5.1884e-05
29,174.486,0.55744,1.37235,0.91969,0.7449,0.72986,0.80283,0.7139,0.42735,0.92564,0.85854,3.6176e-05,3.6176e-05,3.6176e-05
30,179.569,0.57273,1.39,0.92814,0.7068,0.74367,0.80637,0.72171,0.41628,0.90972,0.85585,2.0468e-05,2.0468e-05,2.0468e-05
